mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,start,E_10y,y_wQ_lt_05,beta
C2,ok,,23.01,1.619,2008-11-18,33.84,0.5481,0.1281,10.1529,10.701,0.493,0.687,0.48,2003-08-20,1.6248,0.0,0.7
A,ok,,23.01,,,43.26,0.0,0.0,7.2106,7.2106,0.449,0.614,0.48,2003-08-20,1.616,0.4,0.6
B,ok,,23.01,7.19,2011-08-22,48.31,0.6351,0.1551,8.8004,9.4354,0.449,0.614,0.48,2003-08-20,1.6954,0.4,0.6
C1,ok,,23.01,1.619,2008-11-18,35.59,0.6351,0.1551,8.8004,9.4354,0.449,0.614,0.48,2003-08-20,1.6954,0.4,0.6
C2,ok,,23.01,1.619,2008-11-18,35.59,0.5481,0.1281,8.0302,8.5783,0.449,0.601,0.48,2003-08-20,1.5855,0.5,0.6
A,ok,,22.83,,,39.0,0.0,0.0,9.422,9.422,0.566,0.713,0.46,2003-10-22,1.8029,0.0,0.7
B,ok,,22.83,6.809,2009-03-09,43.82,0.6128,0.1528,11.5589,12.1717,0.566,0.713,0.46,2003-10-22,1.9214,0.0,0.7
C1,ok,,22.83,1.656,2008-10-22,32.53,0.6128,0.1528,11.5589,12.1717,0.566,0.713,0.46,2003-10-22,1.9214,0.0,0.7
C2,ok,,22.83,1.602,2008-11-18,33.81,0.5096,0.1296,9.0386,9.5482,0.456,0.679,0.46,2003-10-22,1.6938,0.6,0.7
A,ok,,22.83,,,40.79,0.0,0.0,7.2081,7.2081,0.456,0.615,0.46,2003-10-22,1.6887,0.1,0.6
B,ok,,22.83,7.122,2009-03-09,45.84,0.6128,0.1528,8.8197,9.4325,0.456,0.615,0.46,2003-10-22,1.7887,0.1,0.6
C1,ok,,22.83,1.656,2008-10-22,34.56,0.6128,0.1528,8.8197,9.4325,0.456,0.615,0.46,2003-10-22,1.7887,0.1,0.6
C2,ok,,22.83,1.602,2008-11-18,35.05,0.5096,0.1296,7.6497,8.1594,0.456,0.598,0.46,2003-10-22,1.6671,0.6,0.6
A,ok,,22.66,,,38.74,0.0,0.0,9.6124,9.6124,0.531,0.711,0.46,2003-12-24,1.8876,0.0,0.7
B,ok,,22.66,6.737,2009-03-09,43.48,0.6105,0.1505,11.7553,12.3658,0.531,0.711,0.46,2003-12-24,2.0188,0.0,0.7
C1,ok,,22.66,1.604,2008-10-24,32.09,0.6105,0.1505,11.7553,12.3658,0.531,0.711,0.46,2003-12-24,2.0188,0.0,0.7
C2,ok,,22.66,1.604,2008-10-24,33.18,0.5292,0.1292,9.278,9.8072,0.468,0.685,0.46,2003-12-24,1.7441,0.5,0.7
A,ok,,22.66,,,40.53,0.0,0.0,7.399,7.399,0.421,0.613,0.46,2003-12-24,1.7627,0.3,0.6
B,ok,,22.66,7.052,2009-03-09,45.52,0.6105,0.1505,9.0279,9.6384,0.421,0.613,0.46,2003-12-24,1.874,0.3,0.6
C1,ok,,22.66,1.604,2008-10-24,34.12,0.6105,0.1505,9.0279,9.6384,0.421,0.613,0.46,2003-12-24,1.874,0.3,0.6
C2,ok,,22.66,1.604,2008-10-24,34.66,0.5292,0.1292,7.8681,8.3974,0.421,0.6,0.46,2003-12-24,1.7274,0.8,0.6
A,ok,,22.5,,,37.44,0.0,0.0,9.0457,9.0457,0.571,0.713,0.46,2004-02-25,1.8827,0.0,0.7
B,ok,,22.5,6.573,2009-03-09,42.23,0.6084,0.1484,11.0988,11.7071,0.571,0.713,0.46,2004-02-25,2.024,0.0,0.7
C1,ok,,22.5,1.631,2008-11-18,30.64,0.6084,0.1484,11.0988,11.7071,0.571,0.713,0.46,2004-02-25,2.024,0.0,0.7
C2,ok,,22.5,1.631,2008-11-18,31.26,0.5273,0.1273,8.6126,9.1399,0.481,0.688,0.46,2004-02-25,1.7082,0.2,0.7
A,ok,,22.5,,,39.17,0.0,0.0,6.9354,6.9354,0.461,0.616,0.46,2004-02-25,1.7534,0.2,0.6
B,ok,,22.5,6.876,2009-03-09,44.19,0.6084,0.1484,8.4813,9.0897,0.461,0.616,0.46,2004-02-25,1.8722,0.2,0.6
C1,ok,,22.5,1.631,2008-11-18,32.59,0.6084,0.1484,8.4813,9.0897,0.461,0.616,0.46,2004-02-25,1.8722,0.2,0.6
C2,ok,,22.5,1.631,2008-11-18,32.89,0.5273,0.1273,7.3224,7.8497,0.461,0.603,0.46,2004-02-25,1.7037,0.4,0.6
A,ok,,22.32,,,38.45,0.0,0.0,8.7444,8.7444,0.556,0.711,0.46,2004-04-28,1.7859,0.0,0.7
B,ok,,22.32,7.673,2009-05-13,42.32,0.6062,0.1462,10.6877,11.2938,0.556,0.711,0.46,2004-04-28,1.9004,0.0,0.7
C1,ok,,22.32,1.602,2008-11-18,31.76,0.6062,0.1462,10.6877,11.2938,0.556,0.711,0.46,2004-04-28,1.9004,0.0,0.7
C2,ok,,22.32,1.602,2008-11-18,31.76,0.5764,0.1364,9.7819,10.3583,0.49,0.703,0.46,2004-04-28,1.7467,0.0,0.7
A,ok,,22.32,,,40.32,0.0,0.0,6.6793,6.6793,0.446,0.613,0.46,2004-04-28,1.6627,0.4,0.6
B,ok,,22.32,7.427,2016-06-27,44.41,0.6062,0.1462,8.1431,8.7493,0.446,0.613,0.46,2004-04-28,1.7582,0.4,0.6
C1,ok,,22.32,1.602,2008-11-18,33.85,0.6062,0.1462,8.1431,8.7493,0.446,0.613,0.46,2004-04-28,1.7582,0.4,0.6
C2,ok,,22.32,1.602,2008-11-18,33.85,0.5764,0.1364,7.7177,8.2941,0.446,0.609,0.46,2004-04-28,1.6775,0.5,0.6
A,ok,,22.15,,,37.89,0.0,0.0,8.5954,8.5954,0.564,0.71,0.46,2004-06-30,1.859,0.0,0.7
B,ok,,22.15,7.644,2011-08-19,41.71,0.6039,0.1439,10.5208,11.1247,0.564,0.71,0.46,2004-06-30,1.995,0.0,0.7
C1,ok,,22.15,1.618,2008-11-18,31.2,0.6039,0.1439,10.5208,11.1247,0.564,0.71,0.46,2004-06-30,1.995,0.0,0.7
C2,ok,,22.15,1.618,2008-11-18,31.2,0.5229,0.1229,8.9191,9.442,0.467,0.684,0.46,2004-06-30,1.7881,0.5,0.7
A,ok,,22.15,,,39.77,0.0,0.0,6.5666,6.5666,0.454,0.612,0.46,2004-06-30,1.7175,0.4,0.6
B,ok,,22.15,7.524,2011-08-19,43.8,0.6039,0.1439,8.016,8.6199,0.454,0.612,0.46,2004-06-30,1.8303,0.4,0.6
C1,ok,,22.15,1.618,2008-11-18,33.29,0.6039,0.1439,8.016,8.6199,0.454,0.612,0.46,2004-06-30,1.8303,0.4,0.6
C2,ok,,22.15,1.618,2008-11-18,33.29,0.5229,0.1229,7.2493,7.7723,0.454,0.599,0.46,2004-06-30,1.7192,0.9,0.6
A,ok,,21.98,,,40.72,0.0,0.0,9.3632,9.3632,0.568,0.711,0.44,2004-09-01,2.0712,0.0,0.7
B,ok,,21.98,8.251,2011-10-03,44.55,0.5817,0.1417,11.2486,11.8303,0.568,0.711,0.44,2004-09-01,2.2136,0.0,0.7
C1,ok,,21.98,1.631,2008-11-18,34.09,0.5817,0.1417,11.2486,11.8303,0.568,0.711,0.44,2004-09-01,2.2136,0.0,0.7
C2,ok,,21.98,1.631,2008-11-18,34.09,0.501,0.121,9.7978,10.2988,0.463,0.684,0.44,2004-09-01,2.041,0.5,0.7
A,ok,,21.98,,,42.31,0.0,0.0,7.0721,7.0721,0.458,0.613,0.44,2004-09-01,1.8833,0.3,0.6
B,ok,,21.98,7.996,2016-02-09,46.36,0.5817,0.1417,8.4912,9.073,0.458,0.613,0.44,2004-09-01,2.0008,0.3,0.6
C1,ok,,21.98,1.631,2008-11-18,35.9,0.5817,0.1417,8.4912,9.073,0.458,0.613,0.44,2004-09-01,2.0008,0.3,0.6
C2,ok,,21.98,1.631,2008-11-18,35.9,0.501,0.121,7.7993,8.3003,0.458,0.599,0.44,2004-09-01,1.9082,0.8,0.6
A,ok,,21.8,,,37.86,0.0,0.0,9.1529,9.1529,0.549,0.71,0.44,2004-11-03,2.0175,0.0,0.7
B,ok,,21.8,7.88,2009-03-09,41.68,0.5796,0.1396,11.0612,11.6408,0.549,0.71,0.44,2004-11-03,2.163,0.0,0.7
C1,ok,,21.8,1.612,2008-10-24,32.65,0.5796,0.1396,11.0612,11.6408,0.549,0.71,0.44,2004-11-03,2.163,0.0,0.7
C2,ok,,21.8,1.612,2008-10-24,34.98,0.4981,0.1181,9.0813,9.5794,0.431,0.683,0.44,2004-11-03,1.9304,0.5,0.7
A,ok,,21.8,,,39.71,0.0,0.0,7.0255,7.0255,0.439,0.612,0.44,2004-11-03,1.8543,0.1,0.6
B,ok,,21.8,7.856,2012-11-15,43.73,0.5796,0.1396,8.4741,9.0537,0.439,0.612,0.44,2004-11-03,1.9752,0.1,0.6
C1,ok,,21.8,1.612,2008-10-24,34.71,0.5796,0.1396,8.4741,9.0537,0.439,0.612,0.44,2004-11-03,1.9752,0.1,0.6
C2,ok,,21.8,1.612,2008-10-24,35.83,0.4981,0.1181,7.5356,8.0337,0.431,0.598,0.44,2004-11-03,1.8501,0.6,0.6
A,ok,,21.63,,,36.02,0.0,0.0,8.6753,8.6753,0.556,0.711,0.44,2005-01-05,1.9658,0.0,0.7
B,ok,,21.63,7.515,2009-03-09,39.86,0.5775,0.1375,10.5471,11.1245,0.556,0.711,0.44,2005-01-05,2.1152,0.0,0.7
C1,ok,,21.63,1.6,2008-11-12,30.58,0.5775,0.1375,10.5471,11.1245,0.556,0.711,0.44,2005-01-05,2.1152,0.0,0.7
C2,ok,,21.63,1.6,2008-11-12,32.02,0.4962,0.1162,8.3625,8.8587,0.457,0.685,0.44,2005-01-05,1.8292,0.6,0.7
A,ok,,21.63,,,37.91,0.0,0.0,6.6953,6.6953,0.446,0.613,0.44,2005-01-05,1.8146,0.2,0.6
B,ok,,21.63,7.61,2016-02-09,41.94,0.5775,0.1375,8.1142,8.6917,0.446,0.613,0.44,2005-01-05,1.9388,0.2,0.6
C1,ok,,21.63,1.6,2008-11-12,32.66,0.5775,0.1375,8.1142,8.6917,0.446,0.613,0.44,2005-01-05,1.9388,0.2,0.6
C2,ok,,21.63,1.6,2008-11-12,33.42,0.4962,0.1162,7.0821,7.5783,0.446,0.6,0.44,2005-01-05,1.7858,0.8,0.6
A,ok,,21.46,,,37.52,0.0,0.0,8.968,8.968,0.579,0.717,0.44,2005-03-09,2.0644,0.0,0.7
B,ok,,21.46,8.084,2009-03-11,40.54,0.5753,0.1353,10.8646,11.4399,0.579,0.717,0.44,2005-03-09,2.2269,0.0,0.7
C1,ok,,21.46,1.614,2008-11-19,32.05,0.5753,0.1353,10.8646,11.4399,0.579,0.717,0.44,2005-03-09,2.2269,0.0,0.7
C2,ok,,21.46,1.614,2008-11-19,32.05,0.4927,0.1127,8.0648,8.5574,0.473,0.691,0.44,2005-03-09,1.8895,0.4,0.7
A,ok,,21.46,,,39.35,0.0,0.0,6.9227,6.9227,0.469,0.62,0.44,2005-03-09,1.8993,0.1,0.6
B,ok,,21.46,8.112,2016-06-27,42.55,0.5753,0.1353,8.3616,8.9369,0.469,0.62,0.44,2005-03-09,2.0343,0.1,0.6
C1,ok,,21.46,1.614,2008-11-19,34.05,0.5753,0.1353,8.3616,8.9369,0.469,0.62,0.44,2005-03-09,2.0343,0.1,0.6
C2,ok,,21.46,1.614,2008-11-19,34.05,0.4927,0.1127,7.0415,7.5341,0.469,0.607,0.44,2005-03-09,1.8543,0.5,0.6
A,ok,,21.29,,,39.89,0.0,0.0,9.1155,9.1155,0.546,0.712,0.44,2005-05-11,2.1915,0.0,0.7
B,ok,,21.29,8.982,2016-06-27,42.89,0.5732,0.1332,10.8601,11.4333,0.546,0.712,0.44,2005-05-11,2.3464,0.0,0.7
C1,ok,,21.29,1.601,2008-11-12,34.7,0.5732,0.1332,10.8601,11.4333,0.546,0.712,0.44,2005-05-11,2.3464,0.0,0.7
C2,ok,,21.29,1.601,2008-11-12,34.7,0.5144,0.1144,9.3833,9.8977,0.47,0.694,0.44,2005-05-11,2.0464,0.3,0.7
A,ok,,21.29,,,41.65,0.0,0.0,6.9319,6.9319,0.436,0.614,0.44,2005-05-11,1.9891,0.5,0.6
B,ok,,21.29,8.247,2016-06-27,44.83,0.5732,0.1332,8.2485,8.8217,0.436,0.614,0.44,2005-05-11,2.1171,0.5,0.6
C1,ok,,21.29,1.601,2008-11-12,36.65,0.5732,0.1332,8.2485,8.8217,0.436,0.614,0.44,2005-05-11,2.1171,0.5,0.6
C2,ok,,21.29,1.601,2008-11-12,36.65,0.5144,0.1144,7.5426,8.057,0.436,0.605,0.44,2005-05-11,1.9598,0.9,0.6
A,ok,,21.12,,,37.54,0.0,0.0,8.471,8.471,0.573,0.709,0.44,2005-07-13,2.0768,0.0,0.7
B,ok,,21.12,8.618,2011-08-19,40.55,0.5711,0.1311,10.1714,10.7425,0.573,0.709,0.44,2005-07-13,2.2338,0.0,0.7
C1,ok,,21.12,1.602,2008-11-19,32.13,0.5711,0.1311,10.1714,10.7425,0.573,0.709,0.44,2005-07-13,2.2338,0.0,0.7
C2,ok,,21.12,1.602,2008-11-19,32.13,0.5124,0.1124,9.0355,9.5479,0.487,0.691,0.44,2005-07-13,2.0059,0.1,0.7
A,ok,,21.12,,,39.5,0.0,0.0,6.4788,6.4788,0.463,0.611,0.44,2005-07-13,1.8927,0.3,0.6
B,ok,,21.12,8.19,2016-02-09,42.68,0.5711,0.1311,7.7591,8.3302,0.463,0.611,0.44,2005-07-13,2.0218,0.3,0.6
C1,ok,,21.12,1.602,2008-11-19,34.27,0.5711,0.1311,7.7591,8.3302,0.463,0.611,0.44,2005-07-13,2.0218,0.3,0.6
C2,ok,,21.12,1.602,2008-11-19,34.27,0.5124,0.1124,7.1958,7.7083,0.463,0.602,0.44,2005-07-13,1.8998,0.3,0.6
A,ok,,20.94,,,36.17,0.0,0.0,8.2196,8.2196,0.584,0.711,0.42,2005-09-14,1.9376,0.0,0.7
B,ok,,20.94,8.43,2011-10-03,39.11,0.549,0.129,9.8799,10.4288,0.584,0.711,0.42,2005-09-14,2.0691,0.0,0.7
C1,ok,,20.94,1.625,2008-11-19,30.74,0.549,0.129,9.8799,10.4288,0.584,0.711,0.42,2005-09-14,2.0691,0.0,0.7
C2,ok,,20.94,1.625,2008-11-19,30.74,0.5051,0.1251,8.8702,9.3753,0.478,0.692,0.42,2005-09-14,2.0691,0.3,0.7
A,ok,,20.94,,,38.12,0.0,0.0,6.3005,6.3005,0.474,0.613,0.42,2005-09-14,1.7749,0.1,0.6
B,ok,,20.94,7.887,2016-02-09,41.24,0.549,0.129,7.5563,8.1053,0.474,0.613,0.42,2005-09-14,1.883,0.1,0.6
C1,ok,,20.94,1.625,2008-11-19,32.86,0.549,0.129,7.5563,8.1053,0.474,0.613,0.42,2005-09-14,1.883,0.1,0.6
C2,ok,,20.94,1.625,2008-11-19,32.86,0.5051,0.1251,7.1366,7.6418,0.474,0.603,0.42,2005-09-14,1.883,0.4,0.6
A,ok,,20.76,,,35.59,0.0,0.0,8.6234,8.6234,0.567,0.713,0.42,2005-11-16,2.0999,0.0,0.7
B,ok,,20.76,8.861,2016-02-09,38.67,0.5469,0.1269,10.3496,10.8966,0.567,0.713,0.42,2005-11-16,2.2623,0.0,0.7
C1,ok,,20.76,1.619,2008-10-23,31.24,0.5469,0.1269,10.3496,10.8966,0.567,0.713,0.42,2005-11-16,2.2623,0.0,0.7
C2,ok,,20.76,1.619,2008-10-23,32.47,0.4654,0.1054,8.3173,8.7827,0.474,0.685,0.42,2005-11-16,1.949,0.5,0.7
A,ok,,20.76,,,37.63,0.0,0.0,6.6928,6.6928,0.457,0.615,0.42,2005-11-16,1.9318,0.2,0.6
B,ok,,20.76,8.305,2016-02-09,40.85,0.5469,0.1269,8.0018,8.5488,0.457,0.615,0.42,2005-11-16,2.0662,0.2,0.6
C1,ok,,20.76,1.619,2008-10-23,33.43,0.5469,0.1269,8.0018,8.5488,0.457,0.615,0.42,2005-11-16,2.0662,0.2,0.6
C2,ok,,20.76,1.619,2008-10-23,34.26,0.4654,0.1054,7.0288,7.4942,0.457,0.601,0.42,2005-11-16,1.8971,0.6,0.6
A,ok,,20.6,,,33.93,0.0,0.0,8.1399,8.1399,0.564,0.712,0.42,2006-01-18,1.8367,0.0,0.7
B,ok,,20.6,8.462,2016-02-09,37.03,0.5449,0.1249,9.8214,10.3664,0.564,0.712,0.42,2006-01-18,1.9621,0.0,0.7
C1,ok,,20.6,1.607,2008-11-18,29.54,0.5449,0.1249,9.8214,10.3664,0.564,0.712,0.42,2006-01-18,1.9621,0.0,0.7
C2,ok,,20.6,1.607,2008-11-18,30.46,0.4637,0.1037,7.6053,8.069,0.479,0.684,0.42,2006-01-18,1.6583,0.4,0.7
A,ok,,20.6,,,36.03,0.0,0.0,6.3528,6.3528,0.455,0.614,0.42,2006-01-18,1.7195,0.2,0.6
B,ok,,20.6,7.966,2016-02-09,39.28,0.5449,0.1249,7.6279,8.1728,0.455,0.614,0.42,2006-01-18,1.824,0.2,0.6
C1,ok,,20.6,1.607,2008-11-18,31.78,0.5449,0.1249,7.6279,8.1728,0.455,0.614,0.42,2006-01-18,1.824,0.2,0.6
C2,ok,,20.6,1.607,2008-11-18,32.4,0.4637,0.1037,6.5678,7.0315,0.455,0.6,0.42,2006-01-18,1.659,0.6,0.6
A,ok,,20.42,,,35.83,0.0,0.0,8.2574,8.2574,0.568,0.715,0.42,2006-03-22,1.9576,0.0,0.7
B,ok,,20.42,8.926,2016-06-27,38.01,0.5429,0.1229,9.8924,10.4353,0.568,0.715,0.42,2006-03-22,2.091,0.0,0.7
C1,ok,,20.42,1.619,2008-11-18,31.82,0.5429,0.1229,9.8924,10.4353,0.568,0.715,0.42,2006-03-22,2.091,0.0,0.7
C2,ok,,20.42,1.619,2008-11-18,31.82,0.4839,0.1039,8.4634,8.9473,0.469,0.696,0.42,2006-03-22,1.8072,0.4,0.7
A,ok,,20.42,,,37.87,0.0,0.0,6.3936,6.3936,0.458,0.618,0.42,2006-03-22,1.8086,0.3,0.6
B,ok,,20.42,8.307,2016-06-27,40.18,0.5429,0.1229,7.6338,8.1767,0.458,0.618,0.42,2006-03-22,1.919,0.3,0.6
C1,ok,,20.42,1.619,2008-11-18,33.99,0.5429,0.1229,7.6338,8.1767,0.458,0.618,0.42,2006-03-22,1.919,0.3,0.6
C2,ok,,20.42,1.619,2008-11-18,33.99,0.4839,0.1039,6.932,7.4159,0.458,0.608,0.42,2006-03-22,1.7663,0.7,0.6
A,ok,,20.25,,,38.11,0.0,0.0,8.5532,8.5532,0.547,0.712,0.42,2006-05-24,2.0732,0.0,0.7
B,ok,,20.25,9.253,2016-06-27,40.28,0.5408,0.1208,10.1053,10.6462,0.547,0.712,0.42,2006-05-24,2.2035,0.0,0.7
C1,ok,,20.25,1.613,2008-10-24,34.25,0.5408,0.1208,10.1053,10.6462,0.547,0.712,0.42,2006-05-24,2.2035,0.0,0.7
C2,ok,,20.25,1.613,2008-10-24,34.25,0.482,0.102,8.8549,9.3369,0.49,0.694,0.42,2006-05-24,1.9514,0.1,0.7
A,ok,,20.25,,,40.05,0.0,0.0,6.5385,6.5385,0.437,0.615,0.42,2006-05-24,1.8924,0.5,0.6
B,ok,,20.25,8.537,2016-06-27,42.36,0.5408,0.1208,7.7113,8.2521,0.437,0.615,0.42,2006-05-24,1.9998,0.5,0.6
C1,ok,,20.25,1.613,2008-10-24,36.33,0.5408,0.1208,7.7113,8.2521,0.437,0.615,0.42,2006-05-24,1.9998,0.5,0.6
C2,ok,,20.25,1.613,2008-10-24,36.33,0.482,0.102,7.0966,7.5787,0.437,0.605,0.42,2006-05-24,1.865,0.6,0.6
A,ok,,20.08,,,39.12,0.0,0.0,8.858,8.858,0.572,0.71,0.42,2006-07-26,2.2185,0.0,0.7
B,ok,,20.08,9.969,2016-02-09,41.32,0.5388,0.1188,10.3627,10.9015,0.572,0.71,0.42,2006-07-26,2.3551,0.0,0.7
C1,ok,,20.08,1.6,2008-11-19,35.1,0.5388,0.1188,10.3627,10.9015,0.572,0.71,0.42,2006-07-26,2.3551,0.0,0.7
C2,ok,,20.08,1.6,2008-11-19,35.1,0.4802,0.1002,9.2991,9.7793,0.485,0.691,0.42,2006-07-26,2.1362,0.1,0.7
A,ok,,20.08,,,40.87,0.0,0.0,6.7169,6.7169,0.462,0.612,0.42,2006-07-26,1.9997,0.3,0.6
B,ok,,20.08,9.152,2018-12-24,43.2,0.5388,0.1188,7.8534,8.3922,0.462,0.612,0.42,2006-07-26,2.1116,0.3,0.6
C1,ok,,20.08,1.6,2008-11-19,36.98,0.5388,0.1188,7.8534,8.3922,0.462,0.612,0.42,2006-07-26,2.1116,0.3,0.6
C2,ok,,20.08,1.6,2008-11-19,36.98,0.4802,0.1002,7.3247,7.8049,0.462,0.603,0.42,2006-07-26,1.9949,0.4,0.6
A,ok,,19.9,,,35.76,0.0,0.0,8.2195,8.2195,0.611,0.713,0.4,2006-09-27,2.0859,0.0,0.7
B,ok,,19.9,9.278,2016-02-09,37.93,0.5168,0.1168,9.7134,10.2302,0.611,0.713,0.4,2006-09-27,2.224,0.0,0.7
C1,ok,,19.9,1.647,2009-03-09,32.83,0.5168,0.1168,9.7134,10.2302,0.611,0.713,0.4,2006-09-27,2.224,0.0,0.7
C2,ok,,19.9,1.603,2008-10-24,36.26,0.4135,0.0935,8.008,8.4215,0.403,0.674,0.4,2006-09-27,2.0667,1.1,0.7
A,ok,,19.9,,,37.76,0.0,0.0,6.3212,6.3212,0.503,0.615,0.4,2006-09-27,1.8984,0.0,0.6
B,ok,,19.9,8.642,2016-02-09,40.05,0.5168,0.1168,7.454,7.9708,0.503,0.615,0.4,2006-09-27,2.0116,0.0,0.6
C1,ok,,19.9,1.647,2009-03-09,34.94,0.5168,0.1168,7.454,7.9708,0.503,0.615,0.4,2006-09-27,2.0116,0.0,0.6
C2,ok,,19.9,1.603,2008-10-24,36.79,0.4135,0.0935,6.635,7.0484,0.403,0.596,0.4,2006-09-27,1.922,1.1,0.6
A,ok,,19.73,,,34.63,0.0,0.0,8.3404,8.3404,0.534,0.713,0.4,2006-11-29,2.0647,0.0,0.7
B,ok,,19.73,9.417,2016-02-09,37.0,0.5149,0.1149,9.8884,10.4032,0.534,0.713,0.4,2006-11-29,2.2079,0.0,0.7
C1,ok,,19.73,1.601,2008-10-23,31.37,0.5149,0.1149,9.8884,10.4032,0.534,0.713,0.4,2006-11-29,2.2079,0.0,0.7
C2,ok,,19.73,1.601,2008-10-23,32.36,0.4335,0.0935,7.7785,8.212,0.48,0.684,0.4,2006-11-29,1.8719,0.2,0.7
A,ok,,19.73,,,36.88,0.0,0.0,6.5356,6.5356,0.424,0.616,0.4,2006-11-29,1.914,0.2,0.6
B,ok,,19.73,8.823,2018-12-24,39.35,0.5149,0.1149,7.7118,8.2267,0.424,0.616,0.4,2006-11-29,2.0322,0.2,0.6
C1,ok,,19.73,1.601,2008-10-23,33.72,0.5149,0.1149,7.7118,8.2267,0.424,0.616,0.4,2006-11-29,2.0322,0.2,0.6
C2,ok,,19.73,1.601,2008-10-23,34.54,0.4335,0.0935,6.6934,7.1269,0.424,0.601,0.4,2006-11-29,1.8494,0.4,0.6
A,ok,,19.57,,,33.7,0.0,0.0,7.92,7.92,0.566,0.714,0.4,2007-01-31,2.1174,0.0,0.7
B,ok,,19.57,9.101,2016-02-09,36.03,0.513,0.113,9.4026,9.9156,0.566,0.714,0.4,2007-01-31,2.2798,0.0,0.7
C1,ok,,19.57,1.61,2008-11-18,30.51,0.513,0.113,9.4026,9.9156,0.566,0.714,0.4,2007-01-31,2.2798,0.0,0.7
C2,ok,,19.57,1.61,2008-11-18,31.89,0.4538,0.0938,7.9277,8.3816,0.469,0.694,0.4,2007-01-31,1.9398,0.1,0.7
A,ok,,19.57,,,35.79,0.0,0.0,6.1606,6.1606,0.456,0.616,0.4,2007-01-31,1.9381,0.2,0.6
B,ok,,19.57,8.557,2016-02-09,38.22,0.513,0.113,7.282,7.795,0.456,0.616,0.4,2007-01-31,2.0713,0.2,0.6
C1,ok,,19.57,1.61,2008-11-18,32.7,0.513,0.113,7.282,7.795,0.456,0.616,0.4,2007-01-31,2.0713,0.2,0.6
C2,ok,,19.57,1.61,2008-11-18,33.64,0.4538,0.0938,6.5552,7.009,0.456,0.606,0.4,2007-01-31,1.8876,0.3,0.6
A,ok,,19.39,,,34.54,0.0,0.0,7.8296,7.8296,0.563,0.714,0.4,2007-04-04,2.1657,0.0,0.7
B,ok,,19.39,9.32,2016-06-27,35.95,0.5111,0.1111,9.2566,9.7677,0.563,0.714,0.4,2007-04-04,2.3258,0.0,0.7
C1,ok,,19.39,1.604,2008-11-18,31.88,0.5111,0.1111,9.2566,9.7677,0.563,0.714,0.4,2007-04-04,2.3258,0.0,0.7
C2,ok,,19.39,1.604,2008-11-18,31.88,0.4521,0.0921,7.9646,8.4167,0.465,0.694,0.4,2007-04-04,2.0206,0.4,0.7
A,ok,,19.39,,,36.72,0.0,0.0,6.0898,6.0898,0.453,0.616,0.4,2007-04-04,1.9705,0.4,0.6
B,ok,,19.39,8.712,2016-06-27,38.22,0.5111,0.1111,7.176,7.687,0.453,0.616,0.4,2007-04-04,2.1017,0.4,0.6
C1,ok,,19.39,1.604,2008-11-18,34.15,0.5111,0.1111,7.176,7.687,0.453,0.616,0.4,2007-04-04,2.1017,0.4,0.6
C2,ok,,19.39,1.604,2008-11-18,34.15,0.4521,0.0921,6.5335,6.9856,0.453,0.606,0.4,2007-04-04,1.9372,0.8,0.6
A,ok,,19.22,,,33.22,0.0,0.0,7.2006,7.2006,0.539,0.71,0.4,2007-06-06,2.1414,0.0,0.7
B,ok,,19.22,8.761,2016-06-27,34.58,0.5091,0.1091,8.5536,9.0627,0.539,0.71,0.4,2007-06-06,2.316,0.0,0.7
C1,ok,,19.22,1.615,2008-10-10,30.68,0.5091,0.1091,8.5536,9.0627,0.539,0.71,0.4,2007-06-06,2.316,0.0,0.7
C2,ok,,19.22,1.615,2008-10-10,30.68,0.428,0.088,7.2875,7.7155,0.464,0.68,0.4,2007-06-06,2.0719,0.7,0.7
A,ok,,19.22,,,35.61,0.0,0.0,5.6186,5.6186,0.429,0.612,0.4,2007-06-06,1.9443,0.6,0.6
B,ok,,19.22,8.231,2016-06-27,37.06,0.5091,0.1091,6.6454,7.1546,0.429,0.612,0.4,2007-06-06,2.087,0.6,0.6
C1,ok,,19.22,1.615,2008-10-10,33.17,0.5091,0.1091,6.6454,7.1546,0.429,0.612,0.4,2007-06-06,2.087,0.6,0.6
C2,ok,,19.22,1.615,2008-10-10,33.17,0.428,0.088,6.0119,6.4399,0.429,0.597,0.4,2007-06-06,1.9517,1.3,0.6
A,ok,,19.05,,,32.34,0.0,0.0,7.0149,7.0149,0.562,0.708,0.4,2007-08-08,2.1019,0.0,0.7
B,ok,,19.05,9.1,2016-02-09,33.7,0.5072,0.1072,8.3246,8.8318,0.562,0.708,0.4,2007-08-08,2.2705,0.0,0.7
C1,ok,,19.05,1.602,2008-11-18,29.67,0.5072,0.1072,8.3246,8.8318,0.562,0.708,0.4,2007-08-08,2.2705,0.0,0.7
C2,ok,,19.05,1.602,2008-11-18,29.67,0.4202,0.0802,7.1241,7.5442,0.48,0.678,0.4,2007-08-08,1.9776,0.1,0.7
A,ok,,19.05,,,34.68,0.0,0.0,5.4686,5.4686,0.452,0.61,0.4,2007-08-08,1.9067,0.4,0.6
B,ok,,19.05,8.37,2018-12-24,36.14,0.5072,0.1072,6.462,6.9692,0.452,0.61,0.4,2007-08-08,2.0441,0.4,0.6
